Subject,background,medial femoral,lateral femoral,lateral tibial,medial tibial,trochlear,patellar,total
Subject_01_006,,,52.10174561,,37.26610947,36.5995636,42.10713577,33.61491089
Subject_01_007,,,40.52223206,,35.6618042,40.92741776,45.52113342,32.52651749
Subject_01_008,,,36.05887985,,39.52582169,32.18481445,45.11071777,30.57604675
Subject_01_009,,,49.63832092,,41.44129181,35.54603195,47.78432465,34.88199387
Subject_01_010,,,,,,35.3265152,47.9154892,27.7473348
Subject_01_011,,,,,,39.64580536,42.12065506,27.25548681
Subject_01_012,,,,,,42.52815247,46.52377319,29.68397522
Subject_01_013,,,,,,41.31189728,,20.65594864
Subject_01_014,,,,,,40.17751312,,20.08875656
Subject_01_015,,,,,,40.7698288,,20.3849144
Subject_01_017,,53.62802887,,39.77525711,,,,31.13442866
Subject_01_018,,38.57062149,,41.81351471,,,,26.79471207
Subject_01_019,,34.68940735,,40.48120117,,,,25.05686951
Subject_02_006,,,98.22013855,,83.17610168,,,60.46541341
Subject_02_007,,,98.15822601,,75.01112366,98.22661591,99.94246674,74.26768646
Subject_02_008,,,98.58042145,,84.4644165,98.39689636,99.92567444,76.27348175
Subject_02_009,,,,,,99.62361145,99.31995392,66.31452179
Subject_02_010,,,,,,99.62545013,99.97016144,66.53187052
Subject_02_011,,,,,,98.2959137,99.93582916,66.07724762
Subject_02_012,,,,,,92.3306427,99.68177795,64.00414022
Subject_02_013,,,,,,97.77873993,96.84352112,64.87408702
Subject_02_014,,,,,,98.54682159,99.19979095,65.91553752
Subject_02_017,,97.06764221,,85.67493439,,,,60.9141922
Subject_02_018,,99.04269409,,84.52432251,,,,61.18900553
Subject_02_019,,98.29036713,,91.99523163,,,,63.42853292
Subject_03_008,,36.03286362,,38.43533707,,,,24.82273356
Subject_03_009,,37.84470749,,34.7867775,,,,24.210495
Subject_03_010,,48.79315567,,36.22562408,,,,28.33959325
Subject_03_015,,,,,,57.8079567,,28.90397835
Subject_03_016,,,,,,45.55353165,,22.77676582
Subject_03_017,,,,,,47.62829971,47.79567337,31.80799103
Subject_03_018,,,,,,46.26074982,46.2048111,30.82185364
Subject_03_019,,,,,,45.84077072,47.84636307,31.2290446
Subject_03_020,,,42.78847504,,42.20339966,48.49332809,47.33045959,36.16313248
Subject_03_021,,,47.01126099,,43.16396713,49.50730133,48.36251068,37.60900803
Subject_03_022,,,52.67060852,,46.4178009,52.70724106,49.552742,40.2696785
Subject_03_023,,,46.56524658,,44.53512955,53.78357315,52.07070541,39.39093094
Subject_04_005,,,41.44509506,,41.64412689,38.78217697,,30.46784973
Subject_04_006,,,39.53966904,,36.02794647,45.19558716,,30.19080067
Subject_04_007,,,38.58218384,,35.05840302,38.53097153,34.93157578,29.42062683
Subject_04_008,,,40.93297195,,34.98863602,38.35788345,37.48997116,30.35389252
Subject_04_009,,,,,,40.22827148,41.06981277,27.09936142
Subject_04_010,,,,,,40.73888779,42.60527802,27.7813886
Subject_04_011,,,,,,42.29729462,38.91033173,27.06920878
Subject_04_012,,,,,,43.79927444,42.26026535,28.68651326
Subject_04_013,,,,,,43.29232407,43.05756378,28.78329595
Subject_04_014,,,,,,42.86923218,38.2437439,27.03765869
Subject_04_015,,,,,,44.58792496,40.82120895,28.4697113
Subject_04_016,,,,,,48.22712326,38.7168045,28.98130925
Subject_04_017,,49.15461349,,40.41848755,,,,29.85770035
Subject_04_018,,41.54462814,,45.54376602,,,,29.02946472
Subject_04_019,,40.59006119,,41.98629379,,,,27.52545166
Subject_04_020,,40.27464676,,43.35580826,,,,27.87681834
Subject_05_006,,33.12189484,,35.42162323,,,,22.84783936
Subject_05_007,,44.06028748,,40.3914299,,,,28.15057246
Subject_05_008,,43.85588837,,39.70606232,,,,27.85398356
Subject_05_009,,43.35620499,,40.63132095,,,,27.99584198
Subject_05_011,,,,,,39.25847244,,19.62923622
Subject_05_012,,,,,,36.25012589,42.4925499,26.24755859
Subject_05_013,,,,,,37.57390213,42.42464447,26.6661822
Subject_05_014,,,,,,40.77348328,43.89963531,28.22437286
Subject_05_015,,,,,,43.15148544,49.46276474,30.87141673
Subject_05_016,,,,,,42.13488007,43.00886536,28.38124847
Subject_05_017,,,,,,43.14453125,47.55794907,30.23416011
Subject_05_018,,,45.4412117,,40.33722687,37.87714005,45.3431015,33.79973602
Subject_05_019,,,45.03794861,,40.49900818,37.31601715,,30.71324348
Subject_05_020,,,36.98217392,,37.85654068,,,24.9462382
Subject_06_004,,42.87898636,,43.2525444,,,,28.71051025
Subject_06_005,,47.4968071,,39.40299225,,,,28.96659978
